task,model,method,budget,host,gpu,percent,completed,training_time_hms,training_time_s,time_per_step_ms,its,steps
bernoulli_glm,Flux1,EDM,10000,mlwn09.ific.uv.es,Tesla V100-PCIE-32GB,14,False,00:24:25,1465.0,104.635,9.557,14001
bernoulli_glm,Flux1,EDM,30000,mlwn18.ific.uv.es,Tesla V100-PCIE-32GB,76,False,02:03:16,7396.0,97.315,10.276,76001
bernoulli_glm,Flux1,EDM,100000,mlwn08.ific.uv.es,Tesla V100-PCIE-32GB,100,True,05:28:35,19715.0,197.15,5.072,100000
bernoulli_glm,Flux1,FM,10000,mlwn18.ific.uv.es,Tesla V100-PCIE-32GB,13,False,00:22:42,1362.0,104.761,9.546,13001
bernoulli_glm,Flux1,FM,30000,mlwn17.ific.uv.es,Tesla V100-PCIE-32GB,81,False,02:10:29,7829.0,97.253,10.282,80501
bernoulli_glm,Flux1,FM,100000,mlwn08.ific.uv.es,Tesla V100-PCIE-32GB,100,True,05:32:16,19936.0,199.36,5.016,100000
bernoulli_glm,Flux1,SM,10000,mlwn17.ific.uv.es,Tesla V100-PCIE-32GB,19,False,00:54:35,3275.0,172.359,5.802,19001
bernoulli_glm,Flux1,SM,30000,mlwn03.ific.uv.es,Tesla V100-SXM2-32GB,100,True,02:56:31,10591.0,105.91,9.442,100000
bernoulli_glm,Flux1,SM,100000,mlwn03.ific.uv.es,Tesla V100-SXM2-32GB,100,True,06:00:09,21609.0,216.09,4.628,100000
bernoulli_glm,Flux1Joint,EDM,10000,mlwn07.ific.uv.es,Tesla V100-PCIE-32GB,58,False,01:15:03,4503.0,78.312,12.769,57501
bernoulli_glm,Flux1Joint,EDM,30000,mlwn18.ific.uv.es,Tesla V100-PCIE-32GB,15,False,02:50:31,10231.0,682.021,1.466,15001
bernoulli_glm,Flux1Joint,EDM,100000,mlwn36.ific.uv.es,NVIDIA H100 NVL,42,False,04:36:46,16606.0,400.135,2.499,41501
bernoulli_glm,Flux1Joint,FM,10000,mlwn18.ific.uv.es,Tesla V100-PCIE-32GB,98,False,02:05:55,7555.0,77.486,12.905,97501
bernoulli_glm,Flux1Joint,FM,30000,mlwn25.ific.uv.es,NVIDIA A100-PCIE-40GB,23,False,05:00:11,18011.0,800.453,1.249,22501
bernoulli_glm,Flux1Joint,FM,100000,mlwn18.ific.uv.es,Tesla V100-PCIE-32GB,73,False,13:57:10,50230.0,692.818,1.443,72501
bernoulli_glm,Flux1Joint,SM,10000,mlwn03.ific.uv.es,Tesla V100-SXM2-32GB,100,True,02:16:24,8184.0,81.84,12.219,100000
bernoulli_glm,Flux1Joint,SM,30000,mlwn03.ific.uv.es,Tesla V100-SXM2-32GB,47,False,09:27:53,34073.0,724.942,1.379,47001
bernoulli_glm,Flux1Joint,SM,100000,mlwn03.ific.uv.es,Tesla V100-SXM2-32GB,97,False,19:18:56,69536.0,716.859,1.395,97001
gaussian_linear,Flux1,EDM,10000,mlwn07.ific.uv.es,Tesla V100-PCIE-32GB,17,False,00:29:19,1759.0,106.6,9.381,16501
gaussian_linear,Flux1,EDM,30000,mlwn03.ific.uv.es,Tesla V100-SXM2-32GB,100,True,03:07:06,11226.0,112.26,8.908,100000
gaussian_linear,Flux1,EDM,100000,mlwn16.ific.uv.es,Tesla V100-PCIE-32GB,100,True,05:28:25,19705.0,197.05,5.075,100000
gaussian_linear,Flux1,FM,10000,mlwn07.ific.uv.es,Tesla V100-PCIE-32GB,14,False,00:24:45,1485.0,106.064,9.428,14001
